name	version	license	source
crossbeam-deque	0.8.7	MIT OR Apache-2.0	crates.io
crossbeam-epoch	0.9.20	MIT OR Apache-2.0	crates.io
crossbeam-utils	0.8.22	MIT OR Apache-2.0	crates.io
crypto-common	0.1.7	MIT OR Apache-2.0	crates.io
cvss	2.2.0	Apache-2.0 OR MIT	crates.io
darling	0.24.0	MIT	crates.io
darling_core	0.24.0	MIT	crates.io
darling_macro	0.24.0	MIT	crates.io
derive-new	0.7.0	MIT	crates.io
derive_arbitrary	1.4.2	MIT OR Apache-2.0	crates.io
digest	0.10.7	MIT OR Apache-2.0	crates.io
displaydoc	0.2.7	MIT OR Apache-2.0	crates.io
dyn-clone	1.0.20	MIT OR Apache-2.0	crates.io
either	1.17.0	MIT OR Apache-2.0	crates.io
encoding_rs	0.8.35	(Apache-2.0 OR MIT) AND BSD-3-Clause	crates.io
encoding_rs_io	0.1.8	MIT OR Apache-2.0	crates.io
equivalent	1.0.2	Apache-2.0 OR MIT	crates.io
errno	0.3.14	MIT OR Apache-2.0	crates.io
fallible-iterator	0.3.0	MIT/Apache-2.0	crates.io
fallible-streaming-iterator	0.1.9	MIT/Apache-2.0	crates.io
fastrand	2.5.0	Apache-2.0 OR MIT	crates.io
filetime	0.2.29	MIT/Apache-2.0	crates.io
find-msvc-tools	0.1.10	MIT OR Apache-2.0	crates.io
flate2	1.1.9	MIT OR Apache-2.0	crates.io
fluent-uri	0.1.4	MIT	crates.io
form_urlencoded	1.2.2	MIT OR Apache-2.0	crates.io
fs-set-times	0.20.3	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
futures	0.3.34	MIT OR Apache-2.0	crates.io
futures-channel	0.3.34	MIT OR Apache-2.0	crates.io
futures-core	0.3.34	MIT OR Apache-2.0	crates.io
futures-executor	0.3.34	MIT OR Apache-2.0	crates.io
futures-io	0.3.34	MIT OR Apache-2.0	crates.io
futures-macro	0.3.34	MIT OR Apache-2.0	crates.io
futures-sink	0.3.34	MIT OR Apache-2.0	crates.io
futures-task	0.3.34	MIT OR Apache-2.0	crates.io
futures-util	0.3.34	MIT OR Apache-2.0	crates.io
generic-array	0.14.7	MIT	crates.io
getrandom	0.3.4	MIT OR Apache-2.0	crates.io
getrandom	0.4.3	MIT OR Apache-2.0	crates.io
getset	0.1.7	MIT	crates.io
git2	0.20.4	MIT OR Apache-2.0	crates.io
glob	0.3.4	MIT OR Apache-2.0	crates.io
globset	0.4.20	Unlicense OR MIT	crates.io
goblin	0.10.7	MIT	crates.io
granit-parser	0.0.7	MIT OR Apache-2.0	crates.io
growable-bloom-filter	2.1.1	MIT	crates.io
hashbrown	0.14.5	MIT OR Apache-2.0	crates.io
hashbrown	0.17.1	MIT OR Apache-2.0	crates.io
hashlink	0.9.1	MIT OR Apache-2.0	crates.io
heck	0.5.0	MIT OR Apache-2.0	crates.io
iana-time-zone	0.1.65	MIT OR Apache-2.0	crates.io
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	crates.io
icu_collections	2.3.0	Unicode-3.0	crates.io
icu_locale_core	2.3.0	Unicode-3.0	crates.io
icu_normalizer	2.3.0	Unicode-3.0	crates.io
icu_normalizer_data	2.3.0	Unicode-3.0	crates.io
icu_properties	2.3.0	Unicode-3.0	crates.io
icu_properties_data	2.3.0	Unicode-3.0	crates.io
icu_provider	2.3.0	Unicode-3.0	crates.io
ident_case	1.0.1	MIT/Apache-2.0	crates.io
idna	1.1.0	MIT OR Apache-2.0	crates.io
idna_adapter	1.2.2	Apache-2.0 OR MIT	crates.io
ignore	0.4.33	Unlicense OR MIT	crates.io
indexmap	2.14.0	Apache-2.0 OR MIT	crates.io
io-extras	0.19.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
io-lifetimes	2.0.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
io-lifetimes	3.0.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
ipnet	2.12.1	MIT OR Apache-2.0	crates.io
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0	crates.io
itoa	1.0.18	MIT OR Apache-2.0	crates.io
jclassfile	0.6.1	MIT	crates.io
jobserver	0.1.35	MIT OR Apache-2.0	crates.io
js-sys	0.3.104	MIT OR Apache-2.0	crates.io
json-spanned-value	0.2.2	Apache-2.0 OR MIT	crates.io
libc	0.2.189	MIT OR Apache-2.0	crates.io
libgit2-sys	0.18.7+1.9.6	MIT OR Apache-2.0	crates.io
libsqlite3-sys	0.30.1	MIT	crates.io
libz-sys	1.1.29	MIT OR Apache-2.0	crates.io
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
litemap	0.8.3	Unicode-3.0	crates.io
lock_api	0.4.14	MIT OR Apache-2.0	crates.io
log	0.4.33	MIT OR Apache-2.0	crates.io
lsp-server	0.10.0	MIT OR Apache-2.0	crates.io
lsp-types	0.97.0	MIT	crates.io
maybe-owned	0.3.4	MIT OR Apache-2.0	crates.io
memchr	2.8.3	Unlicense OR MIT	crates.io
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0	crates.io
moka	0.12.16	(MIT OR Apache-2.0) AND Apache-2.0	crates.io
num-traits	0.2.19	MIT OR Apache-2.0	crates.io
once_cell	1.21.4	MIT OR Apache-2.0	crates.io
once_cell_polyfill	1.70.2	MIT OR Apache-2.0	crates.io
parking_lot	0.12.5	MIT OR Apache-2.0	crates.io
parking_lot_core	0.9.12	MIT OR Apache-2.0	crates.io
pastey	0.2.3	MIT OR Apache-2.0	crates.io
percent-encoding	2.3.2	MIT OR Apache-2.0	crates.io
pin-project-lite	0.2.17	Apache-2.0 OR MIT	crates.io
pkg-config	0.3.34	MIT OR Apache-2.0	crates.io
plain	0.2.3	MIT/Apache-2.0	crates.io
portable-atomic	1.15.0	Apache-2.0 OR MIT	crates.io
potential_utf	0.1.6	Unicode-3.0	crates.io
proc-macro2	1.0.107	MIT OR Apache-2.0	crates.io
quick-xml	0.40.1	MIT	crates.io
quote	1.0.47	MIT OR Apache-2.0	crates.io
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	crates.io
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	crates.io
rayon	1.12.0	MIT OR Apache-2.0	crates.io
rayon-core	1.13.0	MIT OR Apache-2.0	crates.io
redox_syscall	0.5.18	MIT	crates.io
ref-cast	1.0.26	MIT OR Apache-2.0	crates.io
ref-cast-impl	1.0.26	MIT OR Apache-2.0	crates.io
regex	1.13.1	MIT OR Apache-2.0	crates.io
regex-automata	0.4.18	MIT OR Apache-2.0	crates.io
regex-syntax	0.8.11	MIT OR Apache-2.0	crates.io
rmcp	3.1.2	Apache-2.0	crates.io
rmcp-macros	3.1.2	Apache-2.0	crates.io
rubund	0.1.0	MIT OR Apache-2.0	crates.io
rusqlite	0.32.1	MIT	crates.io
rustc-hash	2.1.3	Apache-2.0 OR MIT	crates.io
rustdoc-types	0.60.0	MIT OR Apache-2.0	crates.io
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
rustix-linux-procfs	0.1.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
rustversion	1.0.23	MIT OR Apache-2.0	crates.io
same-file	1.0.6	Unlicense/MIT	crates.io
schemars	1.2.2	MIT	crates.io
schemars_derive	1.2.2	MIT	crates.io
scopeguard	1.2.0	MIT OR Apache-2.0	crates.io
scroll	0.13.0	MIT	crates.io
scroll_derive	0.13.1	MIT	crates.io
semver	1.0.28	MIT OR Apache-2.0	crates.io
serde	1.0.229	MIT OR Apache-2.0	crates.io
serde-saphyr	0.0.29	MIT OR Apache-2.0	crates.io
serde_bytes	0.11.19	MIT OR Apache-2.0	crates.io
serde_core	1.0.229	MIT OR Apache-2.0	crates.io
serde_derive	1.0.229	MIT OR Apache-2.0	crates.io
serde_derive_internals	0.30.0	MIT OR Apache-2.0	crates.io
serde_json	1.0.151	MIT OR Apache-2.0	crates.io
serde_repr	0.1.21	MIT OR Apache-2.0	crates.io
serde_spanned	0.6.9	MIT OR Apache-2.0	crates.io
sha2	0.10.9	MIT OR Apache-2.0	crates.io
shlex	2.0.1	MIT OR Apache-2.0	crates.io
simd-adler32	0.3.10	MIT	crates.io
slab	0.4.12	MIT	crates.io
smallvec	1.15.2	MIT OR Apache-2.0	crates.io
spdx	0.13.5	Apache-2.0	crates.io
stable_deref_trait	1.2.1	MIT OR Apache-2.0	crates.io
streaming-iterator	0.1.9	MIT OR Apache-2.0	crates.io
strsim	0.11.1	MIT	crates.io
syn	2.0.119	MIT OR Apache-2.0	crates.io
syn	3.0.3	MIT OR Apache-2.0	crates.io
synstructure	0.13.2	MIT	crates.io
tagptr	0.2.0	MIT/Apache-2.0	crates.io
tar	0.4.46	MIT OR Apache-2.0	crates.io
tempfile	3.27.0	MIT OR Apache-2.0	crates.io
thiserror	2.0.20	MIT OR Apache-2.0	crates.io
thiserror-impl	2.0.20	MIT OR Apache-2.0	crates.io
tinystr	0.8.4	Unicode-3.0	crates.io
tokio	1.53.1	MIT	crates.io
tokio-macros	2.7.2	MIT	crates.io
tokio-util	0.7.19	MIT	crates.io
toml	0.8.23	MIT OR Apache-2.0	crates.io
toml_datetime	0.6.11	MIT OR Apache-2.0	crates.io
toml_edit	0.22.27	MIT OR Apache-2.0	crates.io
toml_write	0.1.2	MIT OR Apache-2.0	crates.io
tracing	0.1.44	MIT	crates.io
tracing-attributes	0.1.31	MIT	crates.io
tracing-core	0.1.36	MIT	crates.io
tree-sitter	0.25.10	MIT	crates.io
tree-sitter-c-sharp	0.23.5	MIT	crates.io
tree-sitter-cpp	0.23.4	MIT	crates.io
tree-sitter-go	0.25.0	MIT	crates.io
tree-sitter-java	0.23.5	MIT	crates.io
tree-sitter-javascript	0.25.0	MIT	crates.io
tree-sitter-language	0.1.7	MIT	crates.io
tree-sitter-php	0.23.11	MIT	crates.io
tree-sitter-python	0.25.0	MIT	crates.io
tree-sitter-rbs	0.2.2	MIT	crates.io
tree-sitter-ruby	0.23.1	MIT	crates.io
tree-sitter-rust	0.24.2	MIT	crates.io
tree-sitter-scala	0.26.2	MIT	crates.io
tree-sitter-typescript	0.23.2	MIT	crates.io
typenum	1.20.1	MIT OR Apache-2.0	crates.io
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	crates.io
unicode-width	0.2.2	MIT OR Apache-2.0	crates.io
url	2.5.8	MIT OR Apache-2.0	crates.io
utf8_iter	1.0.4	Apache-2.0 OR MIT	crates.io
utf8parse	0.2.2	Apache-2.0 OR MIT	crates.io
uuid	1.24.0	Apache-2.0 OR MIT	crates.io
vcpkg	0.2.15	MIT/Apache-2.0	crates.io
version_check	0.9.5	MIT/Apache-2.0	crates.io
walkdir	2.5.0	Unlicense/MIT	crates.io
wasip2	1.0.4+wasi-0.2.12	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
wasm-bindgen	0.2.127	MIT OR Apache-2.0	crates.io
wasm-bindgen-macro	0.2.127	MIT OR Apache-2.0	crates.io
wasm-bindgen-macro-support	0.2.127	MIT OR Apache-2.0	crates.io
wasm-bindgen-shared	0.2.127	MIT OR Apache-2.0	crates.io
winapi-util	0.1.11	Unlicense OR MIT	crates.io
windows-core	0.62.2	MIT OR Apache-2.0	crates.io
windows-implement	0.60.2	MIT OR Apache-2.0	crates.io
windows-interface	0.59.3	MIT OR Apache-2.0	crates.io
windows-link	0.2.1	MIT OR Apache-2.0	crates.io
windows-result	0.4.1	MIT OR Apache-2.0	crates.io
windows-strings	0.5.1	MIT OR Apache-2.0	crates.io
windows-sys	0.59.0	MIT OR Apache-2.0	crates.io
windows-sys	0.60.2	MIT OR Apache-2.0	crates.io
windows-sys	0.61.2	MIT OR Apache-2.0	crates.io
windows-targets	0.52.6	MIT OR Apache-2.0	crates.io
windows-targets	0.53.5	MIT OR Apache-2.0	crates.io
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	crates.io
windows_aarch64_gnullvm	0.53.1	MIT OR Apache-2.0	crates.io
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	crates.io
windows_aarch64_msvc	0.53.1	MIT OR Apache-2.0	crates.io
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	crates.io
windows_i686_gnu	0.53.1	MIT OR Apache-2.0	crates.io
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	crates.io
windows_i686_gnullvm	0.53.1	MIT OR Apache-2.0	crates.io
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	crates.io
windows_i686_msvc	0.53.1	MIT OR Apache-2.0	crates.io
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	crates.io
windows_x86_64_gnu	0.53.1	MIT OR Apache-2.0	crates.io
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	crates.io
windows_x86_64_gnullvm	0.53.1	MIT OR Apache-2.0	crates.io
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	crates.io
windows_x86_64_msvc	0.53.1	MIT OR Apache-2.0	crates.io
winnow	0.7.15	MIT	crates.io
winx	0.36.4	Apache-2.0 WITH LLVM-exception	crates.io
wit-bindgen	0.57.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
writeable	0.6.4	Unicode-3.0	crates.io
xxhash-rust	0.8.18	BSL-1.0	crates.io
yoke	0.8.3	Unicode-3.0	crates.io
yoke-derive	0.8.2	Unicode-3.0	crates.io
zerocopy	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT	crates.io
zerocopy-derive	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT	crates.io
zerofrom	0.1.8	Unicode-3.0	crates.io
zerofrom-derive	0.1.7	Unicode-3.0	crates.io
zerotrie	0.2.5	Unicode-3.0	crates.io
zerovec	0.11.7	Unicode-3.0	crates.io
zerovec-derive	0.11.4	Unicode-3.0	crates.io
zip	2.4.2	MIT	crates.io
zmij	1.0.23	MIT	crates.io
zopfli	0.8.3	Apache-2.0	crates.io
